"Who directed ""The Texas Chainsaw Massacre"" in 1977?",John Carpenter,Tobe Hooper,George A. Romero,Wes Craven,B,,
"Who directed ""The Exorcist"" in 1973?",William Friedkin,John Frankenheimer,John Carpenter,Irvin Kershner,A,,
"What is the name of the demonic child in ""The Omen""?",Louis,Robert,Damien,Keith,C,,
"In ""Kramer vs. Kramer"", who gets custody of the child after the couple separates?",The mother,The father,The grandmother,The neighbour,B,,
"Which group performed the music for ""Tommy""?",Pink Floyd,The Doors,The Beatles,The Who,D,,
What theory is Gene Hackman at the center of in Stanley Kramer's 1977 film?,The Theory of Relativity,The Conspiracy Theory,The Domino theory,The Chaos Theory,C,,
"Who portrays the infamous Staff Sergeant Barnes in ""Platoon""?",Charlie Sheen,Tom Berenger,Willem Dafoe,Forest Whitaker,B,,
"Who directed ""Creepshow"" ?",George A. Romero,Dan O’Bannon,Stuart Gordon,Joe Dante,A,,
"Which of these famous actors has a sinister ending in ""Friday the 13th Part 2""?",Kevin Bacon,Johnny Depp,George Clooney,Kevin Costner,A,,
In which fantasy movie does Cary Elwes play?,"""Legend""","""Labyrinth""","""Ladyhawke""","""The Princess Bride""",D,,
"What film is inspired by ""Throw Momma from the Train""?","""Murder on the Orient Express""","""Strangers on a Train""","""North by Northwest""","""The Train""",B,,
What is the name of the robot that Robocop confronts in Paul Verhoeven's film?,T-800,T-1000,ED-209,HAL-9000,C,,
"In ""Hidden"", what is actually the FBI agent Lloyd Gallagher?",A serial killer,An extraterrestrial,A mutant,A werewolf,B,,
"Who directed the police movie ""Blue Steel"" with Jamie Lee Curtis?",John Frankenheimer,Kathryn Bigelow,Irvin Kershner,Walter Hill,B,,
"In David Cronenberg's ""The Fly"", what does Seth Brundle challenge a bar patron to?",Darts,Arm wrestling,Foosball table,Pinball,B,,
In which movie did Johnny Depp make his debut?,"""A Nightmare on Elm Street""","""The Breakfast Club""","""Stand By Me""","""Dead Poets Society""",A,,
"Which actor is the lead in ""An Officer and a Gentleman""?",Tom Cruise,Kevin Bacon,Richard Geere,Leonardo DiCaprio,C,,
"In ""The Color of Money"", what game do Paul Newman and Tom Cruise play?",Bowling,Poker,Pool,Chess,C,,
"In ""The Blues Brothers"", who is seen doing backflips in a church?",Dan Aykroyd,John Bellucci,James Brown,Aretha Franklin,B,,
What famous macabre family lives in a haunted mansion?,The Adams Family,The Addams Family,The Adamms Family,The Addam Family,B,,
"What is the director of the film ""A Bronx Tale""?",Robert De Niro,Clint Eastwood,Al Pacino,Robin Williams,A,,
"Which actor is Jodie Foster's partner in the film ""Maverick""?",Tom Hanks,Nicolas Cage,Mel Gibson,Kevin Cosner,C,,
What is Ed's last name in Tim Burton's 1994 movie?,Wood,Hopper,Carter,Fisher,A,,
"Who does not appear in the 1995 film ""Heat"" directed by Michael Mann?",Robert De Niro,Al Pacino,Val Kilmer,Sean Connery,D,,
"In the movie Malcolm X, which actor plays the role of Malcolm?",Denzel Washington,Martin Lawrence,Dany Glover,Samuel L. Jackson,A,,
"In the movie ""Jerry Maguire"", what type of star is Jerry Maguire the agent of?",Singing Stars,TV shows Stars,Sports stars,Movie stars,C,,
"Which movie is ""Hot Shots"" a parody of?","""Iron Eagle""","""Top Gun""","""Pulp Fiction""","""Iron Man""",B,,
"Which actor plays a child with mental disorders in the movie ""What's Eating Gilbert Grape""?",Matt Damon,Brad Pitt,Johnny Depp,Leonardo DiCaprio,D,,
In which of these movies does Brad Pitt not star?,"""Telma & Louise""","""True Romance""","""Rounders""","""Fight Club""",C,,
Who plays Dr. Patch Adams in the 1998 Tom Shadyac film?,Robin Williams,Dustin Hoffman,Richard Gere,Jack Nicholson,A,,
"Who is the director of the movie ""Batman & Robin"" released in 1997?",Tim Burton,Joel Schumacher,Christopher Nolan,Richard Donner,B,,
"In the movie ""The Matrix"", with what utensil does the little boy play in the waiting room?",A fork,A knife,A spoon,A ladle,C,,
What distance does an Astronomical Unit correspond to?,The distance from Earth to the Moon,The distance from the Sun to Neptune,The distance from Earth to the Sun,The radius of the Sun,C,,
"What species does Laika belong to, the first living being sent into space?",A cat,A mouse,A dog,A monkey,C,,
Which of these celestial objects does not have an atmosphere?,Titan,Venus,March,The Moon,D,,
Which of these instruments is the least suitable for observing the craters on the Moon from Earth?,An astronomical telescope,A telescope,A microscope,A pair of binoculars,C,,
How many stars visible to the naked eye is the belt of the Orion constellation composed of?,2,3,4,5,B,,
Where did Frenchman Thomas Pesquet stay in 2017?,In the Mir station,On Mars,In the International Space Station,On the Enterprise spacecraft,C,,
What is not possible to see from the far side of the Moon?,Earth,The Sun,Stars,Venus,A,,
What do you call a planet that is not part of the solar system?,A satellite,An exoplanet,A comet,A UFO,B,,
What is the title of the science fiction novel by Pierre Boulle published in 1963?,The Planet of Men,Planet of the Apes,The planet of the primates,Planet Soror,B,,
In what year does part of the space Odyssey story told in a Science Fiction book published in 1968 by Ian Arthur C. Clark take place?,1901,1968,1969,2001,D,,
Which of these units of length is the largest?,The kilometer,The Astronomical Unit,The light-year,The parsec,D,,
Which of these constellations is not a sign of the zodiac?,Cancer,Orion,Scorpion,The Virgin,B,,
Who was the first president to take residency in the White House?,Andrew Jackson,Thomas Jefferson,John Adams,Benjamin Franklin,C,,
Which US president was a former governor of Texas?,Bill Clinton,James Madison,George W. Bush,Ulysses S. Grant,C,,
Which US president was responsible for the abolition of slavery in 1865?,Thomas Jefferson,Franklin D. Roosevelt,Andrew Johnson,Abraham Lincoln,D,,
Who was the first African American to run for president of the United States?,Frederick Douglass,Martin Luther King Jr.,Barack Obama,Jesse Jackson,A,,
Who was the president famous for crossing the Delaware River during the American Revolution?,James K. Polk,John Adams,George Washington,Thomas Jefferson,C,,
In which war did George H.W. Bush serve as a torpedo bomber pilot?,Gulf War,Cold War,World War II,Vietnam War,C,,
Richard Nixon was the first US president to...,...speak French,...visit all 50 states,...live in the White House,...hunt,B,,
Who became US president after the assassination of John F. Kennedy?,Woodrow Wilson,Gerald Ford,Lyndon B. Johnson,George Washington,C,,
What's the name of the US president's formal office in the White House?,The Round Office,The Square Office,The Triangle Office,The Oval Office,D,,
Which of these rooms does not exist in the White House?,The Orange Room,The Red Room,The Blue Room,The Green Room,A,,
"In the 2004 movie ‘Mean Girls’, which character is played by Rachel McAdams?",Regina Smith,Regina Johns,Regina Brown,Regina George,D,,
"In the film ‘The Incredibles’, what special power does Violet, Mr Incredible’s daughter, have?",She can elongate her body,She has superhuman strength,She can make herself invisible,She can run really fast,C,,
What happens to the protagonist of the film ’The Curious Case of Benjamin Button’?,He was born old and gets younger,He travels to the future,He has two pairs of eyes,He becomes invisible,A,,
Which movie by the Coen brothers features Javier Bardem as a serial killer with a very distinctive hairstyle?,Arizona Junior,No Country For Old Men,The Big Lebowski,Miller's Crossing,B,,
What is unusual about Christopher Nolan’s movie ‘Memento’?,Some scenes are in reverse order,Two actors play the lead,The film is completely silent,It was never released in cinemas,A,,
"Which actor plays the Grinch in Ron Howard’s film ‘The Grinch’, released in 2000?",Mike Myers,Robin Williams,Eddie Murphy,Jim Carrey,D,,
Which Ziggy Stardust singer appears in the 2006 film ‘The Prestige’?,David Bowie,Bono,Elton John,Paul Simon,A,,
"In the movie ‘Batman Begins’, which character is played by Cillian Murphy?",The Joker,Two-Face,The Scarecrow,Bane,C,,
Which animation technique was used for Tim Burton’s film ‘The Nightmare Before Christmas’?,3D animation,Stop motion,Rotoscoping,Traditional 2D animation,B,,
How does Carl get his house to rise up off the ground in the movie ‘Up’?,By attaching balloons to it,By attaching a rocket to it,By blowing on it really hard,By putting it on a tortoise,A,,
In which museum in New York is the film ‘Night at the Museum’ set?,The Met,The American Natural History Museum,MoMa,The Guggenheim,B,,
"In the Star Wars prequel trilogy, what colour is the light saber of the Jedi knight Mace Windu, played by Samuel L. Jackson?",Blue,Green,Red,Violet,D,,
"In Egyptian mythology, which organ is weighed in order to judge the soul of a deceased person?",The brain,The heart,The stomach,The pancreas,B,,
"In Norse mythology, which wolf swallowed Odin at the Battle of Ragnarök?",Fenrir,Hati,Garmr,Mánagarmr,A,,
"In Greek mythology, into which animal does Zeus transform himself in order to kidnap Europa?",A calf,A cow,A bull,A heifer,C,,
"During the Trojan War, who is the commander-in-chief of the Achaeans?",Achilles,Ulysses,Agamemnon,Ajax,C,,
"Who is Orpheus going to look for in Hell, in Greek mythology?",Persephone,Eurydice,Idothea,Andromeda,B,,
"In Norse mythology, what time concepts are the three Norns guardians of?","Past, present and future","Morning, afternoon and evening","Spring, summer and autumn","Hours, minutes and seconds",A,,
What Egyptian god is trapped in a coffin thrown into the Nile by his brother Seth?,Ra,Osiris,Anubis,Horus,B,,
Which nymph was punished by Hera and can now do nothing other than repeat what she is told?,Bravo,Charlie,Delta,Echo,D,,
To what kind of competition does Arachne challenge the goddess Minerva in Ovid’s Metamorphoses?,To a hunting contest,To a cooking contest,To a climbing contest,To a weaving contest,D,,
"In exchange for money, he takes the souls of the dead to the Underworld. Who is he?",Aeacus,Charon,Erebus,Priam,B,,
"While trying to avoid the monster Charybdis, Ulysses loses several men to another monster. Which one?",Kraken,Sciron,Keto,Scylla,D,,
What did the canopic vases contain during the burial rituals of the Egyptians?,The ashes of the deceased,The guts of the deceased,The jewellery of the deceased,The bones of the deceased,B,,
Who was the leader of the USSR during the Second World War?,Joseph Stalin,Karl Marx,Vladimir Lenin,Leon Trotsky,A,,
What was Germany’s military tactic of striking deep and fast?,Scorched-earth policy,Blitzkrieg (lightning war),Pincer maneuver,Guerrilla warfare,B,,
What event marked the United States’ entry into the Second World War?,Attack on Pearl Harbor,Normandy landings,Invasion of Poland,Death of Franklin D. Roosevelt,A,,
Which organization was created after the war to promote peace and prevent future global conflicts?,European Union,League of Nations,UN,NATO,C,,
Which French general led the French Resistance from exile in England?,Philippe Pétain,Charles de Gaulle,Georges Clemenceau,François Mitterrand,B,,
Which battle marked a decisive turning point on the eastern front during the Second World War?,Battle of Corsica,Battle of Stalingrad,Battle of El Alamein,Battle of Ibiza,B,,
How many people lost their lives in the Second World War?,"100,000","600,000",1 million,60 million,D,,
What were Japanese pilots who flew suicide missions called?,Samurai,Shogun,Kamikaze,Ninja,C,,
"Which country did Germany invade on September 1, 1939?",Austria,Poland,France,Czechoslovakia,B,,
"On which British radio station was the appeal of June 18, 1940, broadcast?",Radio France,Vatican Radio,BBC,Al Jazeera,C,,
"In which region of France did the Allies land on June 6, 1944?",Normandy,Côte d’Azur,Alsace,Corsica,A,,
In which country were the first atomic bombs dropped?,China,Japan,Korea,Russia,B,,
What sport does Eric Taylor coach at an American high school in the series “Friday Night Lights”?,American football,Quidditch,Pickleball,Lawn bowling,A,,
What is Walter White’s real job at the beginning of the series “Breaking Bad”?,Car salesman,Chemistry teacher,Pharmacist,Astrologer,B,,
"At the beginning of the series “Succession,” which member of the Roy family is considered the favourite to succeed Logan?",Roman Roy,Kendall Roy,Connor Roy,Cousin Greg,B,,
Which actor plays Marty in the series “Ozark”?,Jason Bateman,Jason Voorhees,Jason Sudeikis,Jason Statham,A,,
Which American national park shares its name with a series launched in 2018 and starring Kevin Costner?,Disney World,Joshua Tree,Jurassic Park,Yellowstone,D,,
Who is the president of the United States in the series “The West Wing”?,Donald Reagan,Bob Clinton,Josiah Bartlet,Leo McGarry,C,,
Which actor plays Hannibal in the series of the same name?,Mads Mikkelsen,Anthony Hopkins,Hugh Dancy,Brian Cox,A,,
The portal that enables characters in the series “Dark” to travel through time is located where?,In a phone booth,In a cave,In a jacuzzi,In a DeLorean,B,,
Which TV series is an adaptation of a popular Coen Brothers film for the small screen?,No Country for Old Men,Fargo,Stranger Things,Big Little Lies,B,,
"In “Gomorrah,” a series about the Neapolitan mafia, what is Ciro di Marzio’s nickname?",Sugar Cube,The Immortal,Baby,Chick,B,,
What do the series “Modern Family” and “The Office” have in common?,They are fake documentaries,Steve Carell is the star,Each has 250 episodes,They are black and white,A,,
"Which character from the series “The Shield” says of the hero, “Mackey’s not a cop... he’s Al Capone with a badge”?",Eliot Ness,Jack Bauer,David Aceveda,Kojak,C,,
"In 1984, Michael Jackson suffered a terrible accident on the set of a commercial for which brand?",Doritos,KFC,Pepsi,PRIME,C,,
"Rumour had it that during their relationship, Billy Bob Thornton and Angelina Jolie wore vials of each other’s bodily fluids around their necks. Which fluid?",Pepsi,Apple juice,Blood,Tears,C,,
Which member of the boyband One Direction died tragically in October 2024?,Liam Payne,Harry Styles,Mark Wahlberg,Max George,A,,
"Idris Elba is not only one of the most popular actors of his generation, he’s also...",...an F1 driver.,...a DJ.,...a tightrope walker.,...a member of the Beach Boys.,B,,
Which actor and podcast host did Kristen Bell marry in 2013?,Marc Maron,Elon Musk,Amy Schumer,Dax Shepard,D,,
What was the name of the movement to free Britney Spears from her father’s legal guardianship?,Free Britney,Release Britney,Toxic,Stop the Circus,A,,
Why did Walt Disney get fired from his first job as an animator?,Lack of initiative,Drew only mice,Bad breath,Lack of imagination,D,,
Tom Cruise adheres to the teachings of what church?,Catholic Church,Protestant Church,Church of Scientology,Orthodox Church,C,,
"In 1982, Ozzy Osbourne believed a fan had thrown a rubber toy on stage and accidentally bit and ripped off the head of a...",...bat.,...rat.,...frog.,...snake.,A,,
What did singer Shakira and soccer player Gérard Piqué announce in June 2022?,Las Vegas wedding,Separation,Duet song,Biopic,B,,
How old was Jennifer Lawrence when she dropped out of school to become a professional actress?,14,21,4,32,A,,
Which office did Arnold Schwarzenegger hold from 2003 to 2011?,Vice president of the United States,United Nations secretary-general,President of the world,Governor of California,D,,
On which island is the Statue of Liberty located?,Freedom Island,Liberty Island,Rhode Island,Monkey Island,B,,
What is the Taj Mahal primarily made of?,Marble,Glass,Wood,Brick,A,,
Which Gothic building and symbol of Paris was severely damaged by fire in 2019?,Sistine Chapel,Sacré-Coeur,Notre-Dame Cathedral,Sagrada Família,C,,
Which wall divided Germany’s capital for nearly three decades?,Paris Wall,China Wall,Vienna Wall,Berlin Wall,D,,
Which public square is located in the heart of Moscow?,Red Square,Green Square,Blue Square,Yellow Square,A,,
Which suspension bridge is emblematic of San Francisco?,Brooklyn Bridge,Golden Gate Bridge,Sydney Harbour Bridge,Tower Bridge,B,,
"Which building in Washington, D.C., houses the United States Congress?",Empire State Building,Supreme Court,Capitol,Lincoln Memorial,C,,
What’s the only wonder of the ancient world that still exists today?,Statue of Zeus,Temple of Artemis,Lighthouse of Alexandria,Cheops Pyramid at Giza,D,,
Where is the Sagrada Família?,Madrid,Barcelona,Valencia,Beijing,B,,
Paris’s Louvre Museum is home to what glass structure?,Pyramid,Tower,Lighthouse,Castle,A,,
In which New York borough is the Empire State Building located?,Bronx,Harlem,Manhattan,Chinatown,C,,
What’s the name of the scale model of Big Ben near London’s Victoria Station?,Little Henry,Little Charles,Little William,Little Ben,D,,
Telephone inventor Alexander Graham Bell’s mother and wife lived with what disability?,Deafness,Mutism,Blindness,Leg paralysis,A,,
Galileo’s work with lenses led to what invention?,Binoculars,Telescope,Microscope,Periscope,B,,
During which period did the inventor Leonardo da Vinci live?,Prehistory,Antiquity,Renaissance,Modern times,C,,
Which of Thomas Edison’s inventions paved the way for filmmaking?,Phonograph,Electric light bulb,Kinetoscope,Electric battery,C,,
What products could be made following Charles Goodyear’s invention of an industrial process known as vulcanization?,Tires,Automobile motors,Car windows,Brake cables,A,,
Brothers Auguste and Louis Lumière were from what country?,Spain,France,China,Russia,B,,
"What instrument, invented in Japan by John Milne, is used to measure earthquakes?",Geophone,Seismograph,Accelerometer,Oscillograph,B,,
What does the name IMAX mean?,Innovation MAXimum,Interface MAXimum,Integration MAXimum,Image MAXimum,D,,
What American politician invented the lightning rod?,George Washington,Andrew Jackson,Abraham Lincoln,Benjamin Franklin,D,,
What unit of measure is named after Nikola Tesla?,Magnetic density,Electrical voltage,Frequency,Resistance,A,,
"What object, invented by Henry Mill in 1714, was originally known as a “machine for transcribing letters”?",Printer,Feather pen,Typewriter,Photocopier,C,,
"What type of book, invented sometime between 1760 and 1860, creates an illusion of movement when its pages are turned rapidly?",Flip book,Split-page book,Carousel book,Pop-up book,A,,
"In Formula 1, what is ""dirty air""?",A problem with the engine,Air pollution on the circuit,Air turbulence,A penalty for aggressive driving,C,,
"Which discipline combines asphalt, gravel and spectacular jumps in motor racing?",Autocross,Rallycross,NASCAR,AutoGP,B,,
What nickname was given to the motor racing driver Alain Prost?,The Doctor,The Professor,The Schoolmaster,The Wise Man,B,,
What do the first two letters of the NASCAR acronym stand for?,New American,National American,Navigating Assistance,National Association,D,,
"In rally racing, what is the “logbook” for?",Noting down the times on the stopwatch,Giving instructions to the driver,Measuring the distance left,Monitoring the pit stops,B,,
Who became the official tyre supplier to Formula 1 in 2011?,Goodyear,Michelin,Bridgestone,Pirelli,D,,
"In Formula 1, how many points are awarded to the winner of a race?",15,20,25,30,C,,
Where was the Dakar Rally moved to in 2009?,Europe,Asia,Oceania,South America,D,,
How many drivers are there per team in Formula 1?,1,2,3,4,B,,
What is a training lap in Formula 1?,A qualifying lap,A test lap,A lap after the race to celebrate,A lap for parking the cars,B,,
Which Japanese car manufacturer has long had a presence at rally competitions with models like the Impreza?,Subaru,Nissan,Toyota,Mitsubishi,A,,
Which team traditionally wears blue in Formula 1?,Williams,Ferrari,McLaren,Mercedes,A,,
"In ancient Greece, what form of government ruled Athens at its height?",Monarchy,Oligarchy,Democracy,Tyranny,C,,
"What games, held every four years in ancient Greece, were considered the most important?",Olympic Games,Californian Games,Highland Games,Nemean Games,A,,
What was the primary role of gladiators in ancient Rome?,Pray,Entertain the public,Play music,Cook,B,,
What was the name of the biggest amphitheatre in ancient Rome?,Stadium,Circus Maximus,Pantheon,Colosseum,D,,
"In ancient times, what was the name of the Roman Empire’s largest library?",Library of Rome,Library of Pergamon,Library of Alexandria,Vatican Library,C,,
What modern country was known as the Roman province of Britannia in ancient times?,France,England,Spain,Italy,B,,
"Which Roman emperor built a long, high wall in Great Britain?",Hadrien,Trajan,Julius Caesar,Vercingetorix,A,,
What ancient battle from the Greco-Persian Wars inspired the creation of an Olympic sport?,Thermopylae,Salamis Island,Mycale,Marathon,D,,
"In ancient times, what role did the flautist play on a Greek warship?",Scare away birds,Ensure safety,Set the pace for rowers,Warn other ships,C,,
What was the primary difference between patricians and plebeians in ancient Rome?,Religion,Profession,Social background,Birthplace,C,,
What body of water did ancient Greeks call “the Sea”?,Black Sea,English Channel,Mediterranean Sea,North Sea,C,,
What status did women hold in ancient Roman society?,Subordinate to men,Equal to men,Superior to men,There were no women,A,,
Who had the right to sentence people to the death penalty in ancient Egypt?,Pharaoh only,Pharaoh and his vizier,Vizier and governors,The death penalty was prohibited,A,,
Which document ratifying peace between Egypt and the Hittites is considered the first peace treaty in history?,Tablets of Ramses II,Oslo Accords,North Atlantic Treaty,Treaty of Kadesh,D,,
What powdered mineral did ancient Egyptians use for black eye makeup?,Henna,Malachite,Kohl,Ochre,C,,
About how many children did the extremely fertile Ramses II have?,0,1,15,100,D,,
Why did priests-ouâb remove all hair from their bodies?,Be fashionable,Avoid sweating,Enhance their skin,Preserve ritualistic purity,D,,
"In ancient Egypt, what was the purpose of mummification?",Offer a sacrifice to the gods,Prepare a body for the afterlife,Punish sinners,Transport a body more easily,B,,
Which ancient Egyptian book contained magic spells to guide the dead into the afterlife?,Deceased’s Guidebook,Afterlife for Dummies,Book of the Dead,Book of the Tomb,C,,
"Before its unification, what were the two parts of Egypt called?",Upper and Lower Egypt,North and South Egypt,East and West Egypt,Egypt 1 and Egypt 2,A,,
What are the smaller pyramids surrounding the larger pyramids called?,Satellite pyramids,Galactic pyramids,Telescopic pyramids,Astronaut pyramids,A,,
Which ancient Egyptian king loosely inspired a film starring Dwayne “The Rock” Johnson?,Toad III,Scorpion I,Grasshopper IV,Akhenaten,B,,
Which monument houses the body of the famous Pharaoh Ramses II?,Tomb YT9,Robot tomb C3PO,Tomb KV7,Water tomb H2O,C,,
In which region did ancient Egyptians live?,Nile Alpha,Nile Beta,Nile Delta,Nile Omega,C,,
"Which 2003 Eurodance track by DJ BoBo, is named after a little dog?",“Chihuahua”,“Doberman”,“Pitbull”,“Great Dane”,A,,
Moby established his reputation in the early 2000s with the songs “Porcelain” and “Natural Blues.” Where did his stage name come from?,The Mafia-related word “mob”,The novel “Moby Dick”,Flash mob fashion,The word “mobile”,B,,
Which pop icon plays cat-and-mouse with Britney Spears in the video for “Me Against the Music”?,Cher,Madonna,Céline Dion,Shania Twain,B,,
"Which band, comprised of Danger Mouse and CeeLo Green, scored a hit in 2006 with the track “Crazy”?",Black Pumas,The Roots,Gorillaz,Gnarls Barkley,D,,
Which 2008 Katy Perry hit dealt head-on with the theme of bisexuality?,“I Kissed a Girl”,“Thinking of You”,“Androgyny”,“Lover I Don’t Have to Love”,A,,
"Known as the “King of Pop,” which artist died on June 25, 2009, at the age of 50, before taking the stage for his final show entitled “This Is It”?",George Michael,Lionel Richie,Michael Jackson,Prince,C,,
"Christina Aguilera, Lil’ Kim, Mya and P!nk covered which 1974 Patti LaBelle song in 2001 for the film “Moulin Rouge”?",“Lady Marmalade”,“Morning Much Better”,“Moon Shadow”,“Touch Me All Over”,A,,
Which British rock band was founded in 2007 by Florence Welch?,CHVRCHES,Florence and the Machine,Bat for Lashes,Yeah Yeah Yeahs,B,,
Which former Nirvana drummer and Foo Fighters founder played drums on the Queens of the Stone Age album “Songs for the Deaf”?,Mark Lanegan,Nick Oliveri,Dave Grohl,Josh Homme,C,,
Which Nashville band is best known for the songs “On Call” and “Use Somebody”?,Band of Horses,The Lumineers,The Raconteurs,Kings of Leon,D,,
"Which American rock band, led by Julian Casablancas, contributed to the garage rock renaissance with their 2001 album “Is This It”?",The Strokes,Vampire Weekend,Interpol,The Libertines,A,,
Which Russian duo caused controversy in 2002 with the video for their song “All the Things She Said”?,Masha i Medved,Serebro,KAZKA,t.A.T.u.,D,,
"In which 1995 song, by the band Pulp, does the singer wonder if he’ll see his childhood sweetheart again in five years?",“Disco 1000”,“Disco 2000”,“Disco 3000”,“Disco 4000”,B,,
Which artist performed the Christmas hit “All I Want for Christmas Is You” in 1994 on her album “Merry Christmas”?,Shania Twain,Mariah Carey,Céline Dion,Yoko Ono,B,,
By what name is Metallica’s album “Metallica” also known?,The White Album,The Blue Album,The Black Album,The Green Album,C,,
What’s “in the heart” according to Deee-Lite’s 1990 hit?,Groove,Rhythm,Funk,Dance,A,,
"Which Guns N’ Roses power ballad, featured on the “Use Your Illusion I” album, lasts more than eight minutes?",”September Rain”,”October Rain”,”November Rain”,”December Rain”,C,,
"Which dynamic Blur single, the second from their self-titled album and lasting 2 minutes and 2 seconds, is one of the band’s best-known?",Song 1,Song 2,Song 3,Song 4,B,,
"In 1997, which French electronic duo entered the big leagues with their debut album “Homework”?",Daft Punk,The Chemical Brothers,The Prodigy,Massive Attack,A,,
Which 1973 Bob Dylan song did Guns N’ Roses cover in 1991?,“Knockin’ on Heaven’s Door”,“Like a Rolling Stone”,“Blowin’ in the Wind”,“Hurricane”,A,,
Which song by the American boyband Backstreet Boys begins its chorus with “Tell me why...”?,“Bye Bye Bye”,“Everybody (Backstreet’s Back)”,“I Want It That Way”,“Words”,C,,
Which rapper performed the song “U Can’t Touch This” in 1990?,Marky Mark,Snow,Vanilla Ice,MC Hammer,D,,
"Which rock movement did Nirvana, Stone Temple Pilots, and Pearl Jam establish in the ’90s?",Grunge,Punk,Hair metal,Glam rock,A,,
Which British singer-songwriter contributed to the soundtrack of Disney’s animated film “The Lion King”?,Elton John,Paul McCartney,Phil Collins,Shakira,A,,
"Which band, co-founded by Gwen Stefani, scored a hit in 1996 with the song “Don’t Speak”?",Less Than Jake,No Doubt,Sublime,Save Ferris,B,,
"Released in 1982, the best-selling album of all time is entitled...",...”Killer”,...”Thriller”,...”Driller”,...”Spiller”,B,,
Which 1980 Motörhead song describes a deadly poker hand?,“Ace of Spades”,“Ace of Hearts”,“Ace of Diamonds”,“Ace of Clubs”,A,,
Nena is best known for which pacifist song?,“66 Luftballons”,“77 Luftballons”,“88 Luftballons”,“99 Luftballons”,D,,
Which Simple Minds song begins with “Hey hey hey” and ends with “La la la la”?,“Promised You a Miracle”,“Don’t You (Forget About Me)”,“Glittering Prize”,“Someone Somewhere in Summertime”,B,,
Which new wave band performed “Take My Breath Away” in 1986?,Boston,Madrid,Berlin,Chicago,C,,
Kim Carnes referred to which actress’s eyes in her 1981 song?,Bette Davis,Katharine Hepburn,Meryl Streep,Joan Fontaine,A,,
"Which artist performed the song “Never Gonna Give You Up,” released in 1987?",Rick Astley,Rick Grimes,Rick Sanchez,Rick Roll,A,,
"Known as the Queen of Soul, who gave a concert at Royal Albert Hall in 1980 in front of Queen Elizabeth II?",Tina Turner,Donna Summer,Madonna,Aretha Franklin,D,,
Artist Bruce Springsteen is also known by what nickname?,The King,The Boss,The Daddy,The Chief,B,,
"Which British rock band released the album “Closer” in 1980 shortly after the suicide of its lead singer, Ian Curtis?",Yazoo,U2,The Cure,Joy Division,D,,
"Which female American hip-hop group originally included Cheryl James, Sandra Denton, and Deidra Roper?",Salt-N-Pepa,Ketchup-N-Mustard,Fish-N-Chips,Mac-N-Cheese,A,,
Which high-pitched Scottish singer made his name with Bronski Beat and The Communards in the 1980s?,Robert Plant,Jimmy Somerville,David Bowie,Mick Jagger,B,,
"In Japan, what do 100 sen make?",A Sumo Tournament,A Yen,A Crowd,Sushi,B,,
What family of mammals does a lion belong to?,Hominid,Canine,Bovidae,Feline,D,Japanese WWTBAM PS game,Arty the Biocosmic Boy
Which letter is usually drawn in a circle on the ground of a flat area used as a helipad?,G,S,H,O,C,WWTBAM Turkey 14 April 2024,Arty the Biocosmic Boy
A barista is a specialist in preparing:,Cocktails,Coffee,Desserts,Soups,B,"Milionerzy - November 6, 2025",Arty the Biocosmic Boy
Which of these countries is in Southeast Asia?,Cuba,Egypt,Portugal,Singapore,D,"Quiz $ Millionaire Japan - December 30, 2004",Arty the Biocosmic Boy
How is a bat classified?,Mammal,Reptile,Insect,Bird,A,WWTBAM Angola - Easy questions flunk out moments,Arty the Biocosmic Boy
What is the Latin letter for the number 1000?,L,C,D,M,D,"WWTBAM Russia - June 24, 2023",Arty the Biocosmic Boy
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,WWTBAM? 2nd Edition (Gameboy Color),Arty the Biocosmic Boy
Which of these is not a Hindu deity?,Shiva,Vishnu,Sanskrit,Brahma,C,WWTBAM? 2nd Edition (Gameboy Color),Arty the Biocosmic Boy
Which of these is not a 'lock' function on a standard desktop computer keyboard?,Print Lock,Number Lock,Scroll Lock,Caps Lock,A,WWTBAM? 2nd Edition (Gameboy Color),Arty the Biocosmic Boy
